date,day,semaine
2025-01-08,MERCREDI,B1
2025-01-09,JEUDI,B1
2025-01-10,VENDREDI,B1
2025-01-13,LUNDI,B1
2025-01-14,MARDI,B1
2025-01-15,MERCREDI,B2
2025-01-16,JEUDI,B2
2025-01-17,VENDREDI,B2
2025-01-20,LUNDI,B2
2025-01-21,MARDI,B2
2025-01-22,MERCREDI,B1
2025-01-23,JEUDI,B1
2025-01-24,VENDREDI,B1
2025-01-27,LUNDI,B1
2025-01-28,MARDI,B1
2025-01-29,MERCREDI,B2
2025-01-30,JEUDI,B2
2025-01-31,VENDREDI,B2
2025-02-03,LUNDI,B2
2025-02-04,MARDI,B2
2025-02-05,MERCREDI,B1
2025-02-06,JEUDI,B1
2025-02-07,VENDREDI,B1
2025-02-10,LUNDI,B1
2025-02-11,MARDI,B1
2025-02-12,MERCREDI,B2
2025-02-13,JEUDI,B2
2025-02-14,VENDREDI,B2
2025-02-17,LUNDI,B2
2025-02-18,MARDI,B2
2025-02-19,MERCREDI,B1
2025-02-20,JEUDI,B1
2025-02-21,VENDREDI,B1
2025-02-24,LUNDI,B1
2025-02-25,MARDI,B1
2025-02-26,MERCREDI,B2
2025-02-27,JEUDI,B2
2025-02-28,VENDREDI,B2
2025-03-10,LUNDI,B2
2025-03-11,MARDI,B2
2025-03-12,MERCREDI,B1
2025-03-12,JEUDI,B1
2025-03-14,VENDREDI,B1
2025-03-17,LUNDI,B1
2025-03-18,MARDI,B1
2025-03-19,MERCREDI,B2
2025-03-20,JEUDI,B2
2025-03-21,VENDREDI,B2
2025-03-24,LUNDI,B2
2025-03-25,MARDI,B2
2025-03-26,MERCREDI,B1
2025-03-27,JEUDI,B1
2025-03-28,VENDREDI,B1
2025-03-31,LUNDI,B1
2025-04-01,MARDI,B1
2025-04-02,MERCREDI,B2
2025-04-03,JEUDI,B2
2025-04-04,VENDREDI,B2
2025-04-07,LUNDI,B2
2025-04-08,MARDI,B2
2025-04-09,MERCREDI,B1
2025-04-10,JEUDI,B1
2025-04-11,VENDREDI,B1
2025-04-14,LUNDI,B1
2025-04-15,MARDI,B1
