Grctri;Cousig;Grccod;Grccodtypgrpcou;Grcnbrpladis;Grcnbrplapse
20231;MEC3430;02;L;30;31
20231;MEC3455;01;L;30;30
20231;MEC3455;02;L;30;31
20231;MEC3455;03;L;30;32
20231;MEC3455;02;C;60;60
20231;MEC3900;04;L;23;23
20231;MEC8352;02;L;16;16
20231;MEC8370;12;L;10;10
20231;MEC8370;22;C;19;19
20231;MEC8370;25;L;6;6
20231;MEC8370;27;C;6;6
20231;MEC8370;31;L;2;2
20231;MEC8370;06;C;15;15
20231;MEC8370;07;C;6;6
20231;MEC8370;07;L;6;6
20231;MEC8370;24;L;8;8
20231;MEC8370;27;L;6;6
20231;MEC8370;32;L;2;2
20231;MEC8370;33;L;3;3
20231;MEC8370;03;C;6;6
20231;MEC8370;04;C;6;6
20231;MEC8370;05;C;8;8
20231;MEC8370;05;L;8;8
20231;MEC8370;12;C;10;10
20231;MEC8370;22;L;19;19
20231;MEC8370;25;C;6;6
20231;MEC8370;04;L;6;6
20231;MEC8370;09;C;6;6
20231;MEC8370;14;L;15;15
20231;MEC8370;24;C;8;8
20231;MEC8370;31;C;2;2
20231;MEC8370;14;C;15;15
20231;MEC8370;26;L;5;5
20231;MEC8370;30;C;2;2
20231;MEC8370;03;L;6;6
20231;MEC8370;33;C;3;3
20231;MEC8370;02;C;8;8
20231;MEC8370;09;L;6;6
20231;MEC8370;26;C;5;5
20231;MEC8370;30;L;2;2
20231;MEC8370;32;C;2;2
20231;MEC8370;08;C;10;10
20231;MEC8370;02;L;8;8
20231;MEC8370;06;L;15;15
20231;MEC8370;08;L;10;10
20231;MEC8371;01;L;24;24
20231;MEC8371;03;L;23;23
20231;MEC8371;01;C;70;71
20231;MEC8371;02;L;23;24
20231;MTH0101;02;C;50;50
20231;MTH0101;03;C;50;50
20231;MTH0101;03;L;50;50
20231;MTH0101;02;L;50;50
20231;MTH1007;02;C;56;59
20231;MTH1007;03;L;56;56
20231;MTH1007;02;L;56;59
20231;MTH1007;03;C;56;56
20231;MTH1101;05;L;60;61
20231;MTH1101;01;C;60;60
20231;MTH1101;05;C;60;61
20231;MTH1101;01;L;60;60
20231;MTH2210A;02;C;75;76
20231;MTH2210A;02;L;75;76
20231;MTH2302B;02;C;75;84
20231;MTH2302B;02;L;75;84
20231;MTH2302B;0D;C;1;1
20231;MTH2302D;04;L;60;60
20231;MTH2302D;02;L;60;63
20231;MTH2312;03;L;50;50
20231;MTH2402;02;L;55;58
20231;MTH2402;01;L;55;55
20231;MTH2402;03;L;50;52
20231;MTH2402;02;C;80;81
20231;MTH2402;01;C;80;84
20231;MTH3141;01;C;80;80
20231;MTH3141;01;L;80;80
20231;PHS0102;02;C;55;56
20231;PHS0102;02;L;55;56
20231;PHS4700;0D;C;1;1
20231;SSH0330;01;C;1;29
20231;SSH0330;04;C;1;1
20231;SSH0330;03;C;1;32
20231;SSH0330;02;C;1;30
20231;SSH0345;02;C;1;35
20231;SSH3100BD;01;C;50;56
20231;SSH3201;06;L;45;45
20231;SSH3201;05;L;45;45
20231;SSH3201;09;L;45;45
20231;SSH3201;03;L;45;45
20231;SSH3201;02;L;45;45
20231;SSH3201;02;C;115;119
20231;SSH3501;04;C;55;58
20231;SSH3501;01;C;55;56
20231;Z-925;01;C;25;25
